video,focal_subject,behavior,type,start_time,end_time,duration,notes
Pair 1- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.008,300.008,NA,
Pair 20- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.06,300.06,NA,
Pair 3- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.091,300.091,NA,
Pair 13- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.126,300.126,NA,
Pair 15- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.142,300.142,NA,
Pair 2- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.175,300.175,NA,
Pair 7- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.195,300.195,NA,
Pair 3- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.207,300.207,NA,
Pair 17- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.211,300.211,NA,
Pair 11- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.226,300.226,NA,
Pair 12- 48 Hrs (ED),No focal subject,Contact time,STATE,300.326,302.826,2.5,
Pair 22- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.326,300.326,NA,
Pair 24- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.391,300.391,NA,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.406,300.406,NA,
Pair 13- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.441,300.441,NA,
Pair 3- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.46,300.46,NA,
Pair 2- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.472,300.472,NA,
Pair 21- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.474,300.474,NA,
Pair 8- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.507,300.507,NA,
Pair 8- 1 week (ED),No focal subject,Stereotypic Behaviors,POINT,300.511,300.511,NA,
Pair 15- 48 Hrs (ED),No focal subject,Contact time,STATE,300.527,301.777,1.25,
Pair 19- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.528,300.528,NA,
Pair 24- 1 week (ED),No focal subject,Contact time,STATE,300.562,301.562,1,
Pair 21- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.658,300.658,NA,
Pair 7- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.661,300.661,NA,
Pair 8- 48 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.663,300.663,NA,
Pair 1- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.675,300.675,NA,
Pair 20- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.706,300.706,NA,
Pair 22- 24 Hrs (ED),No focal subject,Stereotypic Behaviors,POINT,300.759,300.759,NA,
Pair 21- Intro (ED),No focal subject,Stereotypic Behaviors,POINT,300.842,300.842,NA,
